suite,family,graph_id,graph_seed,density,case,layers,method,compiler_seed,route_mode,selector_reason,native_2q,cx,depth,twoq_depth,duration_us,router_seconds,level3_seconds,total_compile_seconds,swaps_before_level3,state_error,total_variation,ideal_cut,compiled_ideal_cut,noise_simulated,shots,noisy_cut,noisy_minus_ideal,simulator_seconds,final_positions
balanced,very_sparse15,80003,20340927,0.15,qaoa_p2,2,stock_level3,11,stock_qiskit,stock Qiskit Level 3 baseline,167,167,133,81,29.937777777777782,0.0,0.013292800009367056,0.013972600005217828,0,6.820399216059058e-15,6.503567798317258e-15,6.871239619514562,6.871239619514653,False,0,nan,nan,0.0,"[1, 10, 11, 6, 7, 8, 0, 4, 14, 3, 15, 2, 13, 9, 5, 12]"
balanced,very_sparse15,80003,20340927,0.15,qaoa_p2,2,hybrid_level3,11,qiskit_fallback,density 0.150 is below the V4 window,167,167,133,81,29.937777777777782,0.0,0.012040800007525831,0.013225700007751584,0,6.820399216059058e-15,6.503567798317258e-15,6.871239619514562,6.871239619514653,False,0,nan,nan,0.0,"[1, 10, 11, 6, 7, 8, 0, 4, 14, 3, 15, 2, 13, 9, 5, 12]"
balanced,very_sparse15,80003,20340927,0.15,qaoa_p2,2,stock_level3,29,stock_qiskit,stock Qiskit Level 3 baseline,172,172,131,79,29.432888888888897,0.0,0.01668450000579469,0.018041200004518032,0,7.012196426665487e-15,6.7262107029793485e-15,6.871239619514562,6.871239619514658,False,0,nan,nan,0.0,"[1, 10, 11, 6, 7, 8, 0, 4, 14, 3, 15, 2, 13, 9, 5, 12]"
balanced,very_sparse15,80003,20340927,0.15,qaoa_p2,2,hybrid_level3,29,qiskit_fallback,density 0.150 is below the V4 window,172,172,131,79,29.432888888888897,0.0,0.013659100004588254,0.015227700001560152,0,7.012196426665487e-15,6.7262107029793485e-15,6.871239619514562,6.871239619514658,False,0,nan,nan,0.0,"[1, 10, 11, 6, 7, 8, 0, 4, 14, 3, 15, 2, 13, 9, 5, 12]"
balanced,very_sparse15,80003,20340927,0.15,qaoa_p2,2,stock_level3,47,stock_qiskit,stock Qiskit Level 3 baseline,175,175,127,81,30.620444444444445,0.0,0.011736300002667122,0.012418199999956414,0,7.0906837868189014e-15,6.8148895021749635e-15,6.871239619514562,6.871239619514658,False,0,nan,nan,0.0,"[5, 12, 4, 6, 14, 1, 8, 11, 13, 3, 15, 9, 7, 0, 2, 10]"
balanced,very_sparse15,80003,20340927,0.15,qaoa_p2,2,hybrid_level3,47,qiskit_fallback,density 0.150 is below the V4 window,175,175,127,81,30.620444444444445,0.0,0.011498599997139536,0.01270479999948293,0,7.0906837868189014e-15,6.8148895021749635e-15,6.871239619514562,6.871239619514658,False,0,nan,nan,0.0,"[5, 12, 4, 6, 14, 1, 8, 11, 13, 3, 15, 9, 7, 0, 2, 10]"
balanced,very_sparse15,80004,20340928,0.15,qaoa_p1,1,stock_level3,11,stock_qiskit,stock Qiskit Level 3 baseline,55,55,66,29,11.576888888888897,0.0,0.012014199994155206,0.012627700009034015,0,3.5610829230457716e-15,3.2541981833542715e-15,10.820594215746032,10.820594215746107,False,0,nan,nan,0.0,"[15, 9, 8, 5, 14, 12, 11, 3, 2, 13, 6, 10, 0, 1, 7, 4]"
balanced,very_sparse15,80004,20340928,0.15,qaoa_p1,1,hybrid_level3,11,qiskit_fallback,density 0.150 is below the V4 window,55,55,66,29,11.576888888888897,0.0,0.01084170000103768,0.011797499988460913,0,3.5610829230457716e-15,3.2541981833542715e-15,10.820594215746032,10.820594215746107,False,0,nan,nan,0.0,"[15, 9, 8, 5, 14, 12, 11, 3, 2, 13, 6, 10, 0, 1, 7, 4]"
balanced,very_sparse15,80004,20340928,0.15,qaoa_p1,1,stock_level3,29,stock_qiskit,stock Qiskit Level 3 baseline,55,55,64,31,12.558222222222227,0.0,0.009688999998616055,0.010351000004447997,0,3.6857007397949275e-15,3.441090103713804e-15,10.820594215746032,10.82059421574611,False,0,nan,nan,0.0,"[9, 15, 13, 12, 11, 5, 14, 10, 0, 8, 2, 3, 6, 7, 1, 4]"
balanced,very_sparse15,80004,20340928,0.15,qaoa_p1,1,hybrid_level3,29,qiskit_fallback,density 0.150 is below the V4 window,55,55,64,31,12.558222222222227,0.0,0.010659299994586036,0.011615499999606982,0,3.6857007397949275e-15,3.441090103713804e-15,10.820594215746032,10.82059421574611,False,0,nan,nan,0.0,"[9, 15, 13, 12, 11, 5, 14, 10, 0, 8, 2, 3, 6, 7, 1, 4]"
